Position;Location;Date;Job Link
 Junior Test Automation Engineer ;София;16 ян.;https://dev.bg/company/jobads/luxoft-junior-test-automation-engineer/
 Junior DevOps & Monitoring Engineer ;София;2 фев.;https://dev.bg/company/jobads/telebidpro-junior-devops-monitoring-engineer/
